STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES",VoteAcc,VoteShare,Total Voters
Telangana,ADILABAD,3099414,1,BJP,MALE,52,52,12th Pass,376892,482,377374,25.33068419,35.4682479,1489790
Uttar Pradesh,AGRA,74274036,1,BJP,MALE,5,58,Doctorate,644459,2416,646875,33.38382301,56.46461464,1937690
Maharashtra,AHMADNAGAR,168664576,1,BJP,MALE,0,37,Doctorate,696961,7699,704660,37.85653348,58.42515898,1861396
Gujarat,AHMEDABAD EAST,74699690,1,BJP,MALE,0,58,Others,745810,4024,749834,41.3849704,67.00546171,1811851
Gujarat,AHMEDABAD WEST,89474039,1,BJP,MALE,0,69,Post Graduate,638241,3381,641622,39.04432316,64.21145018,1643317
Rajasthan,AJMER,85101774,1,BJP,MALE,0,64,12th Pass,811091,3985,815076,43.4395362,64.52234957,1876346
Uttar Pradesh,AKBARPUR,1141980,1,BJP,MALE,0,64,10th Pass,577603,3679,581282,32.91292046,56.62023333,1766121
Maharashtra,AKOLA,77153230,1,BJP,MALE,1,60,Graduate Professional,552898,1546,554444,29.72620712,49.49575293,1865169
Kerala,ALAPPUZHA,15268906,1,CPI(M),MALE,2,54,Graduate Professional,443003,2967,445970,32.87164969,40.91047525,1356701
Kerala,ALATHUR,1152816,1,INC,FEMALE,3,32,10th Pass,532493,1322,533815,42.13905339,52.36684011,1266794
Uttar Pradesh,ALIGARH,109522559,1,BJP,MALE,0,46,10th Pass,651805,4410,656215,34.77322936,56.37828085,1887127
West Bengal,ALIPURDUARS,1418730,1,BJP,MALE,9,43,8th Pass,747788,3016,750804,45.54790968,54.35976298,1648383
Uttar Pradesh,ALLAHABAD,26919330,1,BJP,FEMALE,6,69,Doctorate,493204,1250,494454,28.81164926,55.5845464,1716160
Uttarakhand,ALMORA,9910448,1,BJP,MALE,0,46,12th Pass,430455,14196,444651,33.23728069,63.53909006,1337808
Rajasthan,ALWAR,352929,1,BJP,MALE,0,35,10th Pass,750580,9621,760201,40.25371136,59.93021553,1888524
Andhra Pradesh,AMALAPURAM,85993362,1,YSRCP,FEMALE,0,46,Graduate,482003,3955,485958,33.29491982,39.33710441,1459556
Haryana,AMBALA,54361499,1,BJP,MALE,0,67,Post Graduate,744438,2070,746508,40.27100233,56.64280587,1853711
Uttar Pradesh,AMBEDKAR NAGAR,307265103,1,BSP,MALE,1,38,Graduate,563445,673,564118,31.59162146,51.7247608,1785657
Uttar Pradesh,AMETHI,111099609,1,BJP,FEMALE,0,43,12th Pass,467598,916,468514,26.87180781,49.68566932,1743515
Maharashtra,AMRAVATI,124554656,1,IND,FEMALE,1,33,10th Pass,507844,3103,510947,27.87352074,45.87203159,1833091
Gujarat,AMRELI,35900763,1,BJP,MALE,0,64,12th Pass,527593,1442,529035,32.48700759,58.0436736,1628451
Punjab,AMRITSAR,34011739,1,INC,MALE,0,46,12th Pass,444052,980,445032,29.51385228,51.71291057,1507875
Uttar Pradesh,AMROHA,74920879,1,BSP,MALE,0,43,Graduate,600744,338,601082,36.50809173,51.38533401,1646435
Andhra Pradesh,ANAKAPALLI,91526244,1,YSRCP,FEMALE,0,52,Graduate Professional,583210,3016,586226,38.5329471,47.25891124,1521363
Gujarat,ANAND,77043053,1,BJP,MALE,2,54,Others,631581,1516,633097,38.23349659,57.03144987,1655870
Punjab,ANANDPUR SAHIB,154637860,1,INC,MALE,0,53,Graduate Professional,426904,1141,428045,25.1957765,39.55965857,1698876
Andhra Pradesh,ANANTAPUR,11773091,1,YSRCP,MALE,2,48,Doctorate,690901,4307,695208,41.77531007,51.5689326,1664160
Jammu & Kashmir,ANANTNAG,87620672,1,JKNC,MALE,0,65,Post Graduate,40032,148,40180,2.874560285,32.02486749,1397779
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,132233012,1,INC,MALE,0,52,Graduate Professional,95249,59,95308,29.92674372,45.95415578,318471
Uttar Pradesh,AONLA,21766502,1,BJP,MALE,0,50,10th Pass,536377,1298,537675,30.11164283,51.06600614,1785605
Tamil Nadu,ARAKKONAM,1146984897,1,DMK,MALE,2,71,10th Pass,666688,5502,672190,44.81218867,56.97916102,1500016
West Bengal,ARAMBAGH,12527597,1,AITC,FEMALE,1,33,Post Graduate,649613,316,649929,36.82889015,44.13893194,1764726
Tamil Nadu,ARANI,234564815,1,INC,MALE,1,46,Graduate Professional,613390,4370,617760,42.62912742,53.9567497,1449150
Bihar,ARARIA,5010577,1,BJP,MALE,3,52,10th Pass,618004,430,618434,34.25394045,52.86931039,1805439
Bihar,ARRAH,79971720,1,BJP,MALE,1,66,Graduate Professional,560106,6374,566480,27.11269948,52.33245632,2089353
Andhra Pradesh,ARUKU,141179,1,YSRCP,FEMALE,0,26,Graduate Professional,557561,4629,562190,38.73384511,52.13983965,1451418
