Name,Selling Price,Seller,Owner Type,Mileage,Age of Bike
Royal Enfield Classic 350,175000,Individual,First Owner,350,1
Honda Dio,45000,Individual,First Owner,5650,3
Royal Enfield Classic Gunmetal Grey,150000,Individual,First Owner,12000,2
Yamaha Fazer FI V 2.0 [2016-2018],65000,Individual,First Owner,23000,5
Yamaha SZ [2013-2014],20000,Individual,Used,21000,9
Honda CB Twister,18000,Individual,First Owner,60000,10
Honda CB Hornet 160R,78500,Individual,First Owner,17000,2
Royal Enfield Bullet 350 [2007-2011],180000,Individual,Used,39000,12
Hero Honda CBZ extreme,30000,Individual,First Owner,32000,10
Bajaj Discover 125,50000,Individual,First Owner,42000,4
Yamaha FZ16,35000,Individual,First Owner,32000,5
Honda Navi,28000,Individual,Used,10000,4
Bajaj Avenger Street 220,80000,Individual,First Owner,21178,2
Yamaha YZF R3,365000,Individual,First Owner,1127,1
Jawa 42,185000,Individual,First Owner,1700,0
Suzuki Access 125 [2007-2016],25000,Individual,First Owner,55000,8
Hero Honda Glamour,25000,Individual,First Owner,27000,14
Yamaha YZF R15 S,40000,Individual,Used,45000,10
Royal Enfield Classic Gunmetal Grey,150000,Individual,First Owner,23000,2
Yamaha FZ25,120000,Individual,First Owner,39000,2
Hero Passion Pro 110,15000,Individual,First Owner,60000,12
Honda Navi [2016-2017],26000,Individual,First Owner,17450,4
Honda Activa i,32000,Individual,Used,20696,7
Jawa Standard,180000,Individual,First Owner,2000,1
Royal Enfield Thunderbird 350,110000,Individual,First Owner,20000,4
Honda Dream Yuga,25000,Individual,First Owner,35000,8
TVS Apache RTR 160 4V,80000,Individual,First Owner,15210,2
Honda Navi [2016-2017],42000,Individual,First Owner,24000,3
Yamaha Fazer [2009-2016],40000,Individual,Used,35000,7
Hero Honda Splendor NXG,21000,Individual,First Owner,10000,11
Hero Glamour 125,55000,Individual,First Owner,2500,3
Yamaha FZ S [2012-2016],38000,Individual,First Owner,75000,7
