Selling Price,Mileage,Fuel,Seller,Transmission,Owner Type,Number of Seats,Age of Car,Efficiency,Engine Capacity
450000,145500,Diesel,Individual,Manual,First Owner,5,6,23.4,1248
370000,120000,Diesel,Individual,Manual,Used,5,6,21.14,1498
158000,140000,Petrol,Individual,Manual,Used,5,14,17.7,1497
225000,127000,Diesel,Individual,Manual,First Owner,5,10,23.0,1396
130000,120000,Petrol,Individual,Manual,First Owner,5,13,16.1,1298
440000,45000,Petrol,Individual,Manual,First Owner,5,3,20.14,1197
96000,175000,LPG/CNG,Individual,Manual,First Owner,5,13,17.3,1061
45000,5000,Petrol,Individual,Manual,Used,4,19,16.1,796
350000,90000,Diesel,Individual,Manual,First Owner,5,9,23.59,1364
200000,169000,Diesel,Individual,Manual,First Owner,5,7,20.0,1399
500000,68000,Diesel,Individual,Manual,Used,5,6,19.01,1461
92000,100000,Petrol,Individual,Manual,Used,5,15,17.3,993
280000,140000,Diesel,Individual,Manual,Used,5,11,19.3,1248
200000,80000,Petrol,Individual,Manual,Used,5,13,19.33,1248
180000,90000,Petrol,Individual,Manual,Used,5,11,18.9,1061
400000,40000,Petrol,Individual,Manual,First Owner,5,4,18.15,1198
778000,70000,Diesel,Individual,Manual,Used,7,4,24.52,1248
500000,53000,Diesel,Individual,Manual,Used,5,8,23.0,1396
150000,80000,Petrol,Individual,Manual,Used,5,18,19.7,796
680000,100000,Diesel,Individual,Manual,First Owner,5,4,22.54,1396
174000,100000,Diesel,Individual,Manual,Used,5,9,21.0,1461
950000,50000,Diesel,Individual,Manual,First Owner,5,3,25.5,1498
525000,40000,Diesel,Individual,Manual,First Owner,5,5,26.59,1248
600000,72000,Diesel,Individual,Manual,First Owner,5,8,21.5,1248
500000,35000,Petrol,Individual,Manual,First Owner,5,2,20.3,1199
575000,45000,Petrol,Individual,Manual,First Owner,5,4,21.4,1197
275000,28000,Petrol,Individual,Manual,First Owner,5,3,24.7,796
300000,70000,Diesel,Individual,Manual,First Owner,7,7,18.2,1248
220000,120000,Petrol,Individual,Manual,First Owner,5,11,18.9,1061
254999,25000,Petrol,Individual,Manual,First Owner,8,2,16.8,796
670000,70000,Diesel,Individual,Manual,First Owner,5,3,24.3,1248
70000,50000,Petrol,Individual,Manual,Used,5,17,19.33,1248
150000,35000,Petrol,Individual,Manual,Used,5,8,14.0,796
730000,2388,Petrol,Individual,Manual,First Owner,5,2,18.6,1197
650000,16200,Diesel,Individual,Manual,First Owner,5,3,24.3,1248
330000,10000,LPG/CNG,Individual,Manual,Used,4,1,33.44,796
366000,15000,Petrol,Individual,Manual,First Owner,5,1,23.95,998
1149000,5000,Petrol,Individual,Manual,First Owner,5,1,17.0,1591
150000,42000,Petrol,Individual,Manual,First Owner,5,4,20.63,1198
425000,60000,Diesel,Individual,Manual,Used,7,9,13.93,2179
150000,76000,Petrol,Individual,Manual,First Owner,4,8,16.1,796
2100000,5000,Petrol,Individual,Automatic,First Owner,5,1,16.0,1368
925000,28900,Petrol,Dealer,Manual,First Owner,5,2,17.8,1497
425000,86300,Petrol,Dealer,Manual,First Owner,5,7,16.8,1497
675000,23300,Petrol,Dealer,Automatic,First Owner,5,2,18.5,1197
819999,32600,Diesel,Dealer,Manual,First Owner,5,2,24.3,1248
390000,10300,Petrol,Dealer,Manual,First Owner,5,2,23.95,998
1500000,77000,Diesel,Dealer,Manual,First Owner,7,6,12.55,2982
700000,99000,Diesel,Dealer,Manual,First Owner,7,7,12.99,2494
1450000,27800,Diesel,Dealer,Automatic,Used,5,6,14.8,2143
425000,49800,Diesel,Dealer,Manual,First Owner,5,5,24.7,1498
1090000,151000,Diesel,Dealer,Manual,First Owner,7,7,13.5,2477
600000,54700,Diesel,Dealer,Manual,First Owner,5,5,26.0,1498
850000,64000,Petrol,Dealer,Manual,First Owner,5,2,20.65,1462
