State,Constituency,Assets,Party,Gender,Criminal Cases,Age,Education Level,General Votes,Postal Votes,Total Votes,Vote Share,Voters in Constituency,Region
Telangana,ADILABAD,3099414,BJP,MALE,52,52,High School,376892,482,377374,35.4682479,1489790,SOUTH
Uttar Pradesh,AGRA,74274036,BJP,MALE,5,58,Doctorate,644459,2416,646875,56.46461464,1937690,NORTH
Maharashtra,AHMADNAGAR,168664576,BJP,MALE,0,37,Doctorate,696961,7699,704660,58.42515898,1861396,WEST
Gujarat,AHMEDABAD EAST,74699690,BJP,MALE,0,58,Illiterate,745810,4024,749834,67.00546171,1811851,WEST
Gujarat,AHMEDABAD WEST,89474039,BJP,MALE,0,69,Post Graduate,638241,3381,641622,64.21145018,1643317,WEST
Rajasthan,AJMER,85101774,BJP,MALE,0,64,High School,811091,3985,815076,64.52234957,1876346,WEST
Uttar Pradesh,AKBARPUR,1141980,BJP,MALE,0,64,High School,577603,3679,581282,56.62023333,1766121,NORTH
Maharashtra,AKOLA,77153230,BJP,MALE,1,60,Graduate Professional,552898,1546,554444,49.49575293,1865169,WEST
Kerala,ALAPPUZHA,15268906,CPI(M),MALE,2,54,Graduate Professional,443003,2967,445970,40.91047525,1356701,SOUTH
Kerala,ALATHUR,1152816,INC,FEMALE,3,32,High School,532493,1322,533815,52.36684011,1266794,SOUTH
Uttar Pradesh,ALIGARH,109522559,BJP,MALE,0,46,High School,651805,4410,656215,56.37828085,1887127,NORTH
West Bengal,ALIPURDUARS,1418730,BJP,MALE,9,43,Middle School,747788,3016,750804,54.35976298,1648383,EAST
Uttar Pradesh,ALLAHABAD,26919330,BJP,FEMALE,6,69,Doctorate,493204,1250,494454,55.5845464,1716160,NORTH
Uttarakhand,ALMORA,9910448,BJP,MALE,0,46,High School,430455,14196,444651,63.53909006,1337808,NORTH
Rajasthan,ALWAR,352929,BJP,MALE,0,35,High School,750580,9621,760201,59.93021553,1888524,WEST
Andhra Pradesh,AMALAPURAM,85993362,YSRCP,FEMALE,0,46,Graduate,482003,3955,485958,39.33710441,1459556,SOUTH
Haryana,AMBALA,54361499,BJP,MALE,0,67,Post Graduate,744438,2070,746508,56.64280587,1853711,NORTH
Uttar Pradesh,AMBEDKAR NAGAR,307265103,BSP,MALE,1,38,Graduate,563445,673,564118,51.72476079999999,1785657,NORTH
Uttar Pradesh,AMETHI,111099609,BJP,FEMALE,0,43,High School,467598,916,468514,49.68566932,1743515,NORTH
Maharashtra,AMRAVATI,124554656,IND,FEMALE,1,33,High School,507844,3103,510947,45.87203159,1833091,WEST
Gujarat,AMRELI,35900763,BJP,MALE,0,64,High School,527593,1442,529035,58.043673600000005,1628451,WEST
