state,total_votes
Delaware,504010
District of Columbia,333682
Florida,11067456
Georgia,4993055
Hawaii,574341
Idaho,868125
Illinois,5939321
Indiana,3034993
Iowa,1688310
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2934257
Massachusetts,3500056
Michigan,5534874
Minnesota,3268372
Mississippi,1272651
Missouri,3010316
Montana,605738
Nebraska,950346
Nevada,1405376
New Hampshire,804453
New Jersey,4390575
New Mexico,923728
New York,6795886
North Carolina,5524813
North Dakota,361819
Ohio,5764587
Oklahoma,1560699
Oregon,2358090
Pennsylvania,6893186
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11279106
Utah,1487506
Vermont,367428
Virginia,4455712
Washington,4044601
West Virginia,793902
Wisconsin,3297434
Wyoming,276765
Alabama,2309900
Alaska,349473
Arkansas,1217190
California,17174536
Colorado,3256062
Connecticut,1823932
United States,155285483
Arizona,3385845
