Selling Price,Transmission,Mileage,Fuel,Road Tax,Efficiency (mpg),Engine Size ,Age of Car
12000,Automatic,15944,Petrol,150,57.7,1,3
14000,Manual,9083,Petrol,150,57.7,1,2
13000,Manual,12456,Petrol,150,57.7,1,3
17500,Manual,10460,Petrol,145,40.3,1.5,1
16500,Automatic,1482,Petrol,145,48.7,1,1
10500,Manual,35432,Petrol,145,47.9,1.6,5
22500,Manual,2029,Petrol,145,50.4,1,1
9000,Manual,13054,Petrol,145,54.3,1.2,3
25500,Automatic,6894,Diesel,145,42.2,2,1
10000,Manual,48141,Petrol,145,61.4,1,2
11561,Manual,18803,Petrol,145,56.5,1,2
13500,Manual,12065,Petrol,145,54.3,1,2
11000,Manual,20978,Petrol,0,65.7,1,3
17999,Semi-Auto,9002,Diesel,145,54.3,2,2
18999,Semi-Auto,8970,Diesel,145,58.9,1.5,2
14399,Manual,12810,Diesel,145,64.2,1.5,2
17999,Manual,10428,Diesel,145,38.2,2,1
16899,Manual,14680,Diesel,145,54.3,2,2
10999,Manual,12427,Petrol,20,62.8,1,3
12500,Manual,25521,Petrol,145,55.4,1,1
9499,Manual,20400,Petrol,145,55.4,1.1,2
10500,Manual,24926,Petrol,145,65.7,1,3
8995,Manual,26163,Petrol,145,65.7,1,3
8995,Manual,59000,Diesel,160,47.9,2,6
6795,Manual,35299,Petrol,0,65.7,1,6
18499,Manual,13063,Petrol,145,41.5,2,3
11799,Manual,23800,Diesel,145,68.9,1.5,2
8299,Manual,25935,Petrol,0,65.7,1,5
12499,Manual,8700,Petrol,145,58.9,1,2
8699,Manual,25000,Petrol,125,54.3,1.2,3
7999,Manual,60730,Diesel,0,78.5,1.5,4
8991,Manual,18561,Petrol,145,54.3,1.2,3
18990,Manual,8400,Petrol,145,60.1,1,1
7236,Manual,39090,Petrol,0,65.7,1,7
15287,Semi-Auto,33149,Diesel,145,58.9,1.5,2
20000,Manual,24,Diesel,145,65.7,2,1
20000,Manual,558,Petrol,145,53.3,1,0
21378,Manual,3259,Diesel,145,39.2,2,1
9814,Manual,15100,Petrol,145,65.7,1,2
8261,Manual,25000,Petrol,145,57.7,1.2,2
